有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
3346,麗清,上市,汽車工業,2016/12/19
3356,奇偶,上市,光電業,2005/03/28
3376,新日興,上市,電子零組件業,2007/12/31
3380,明泰,上市,通信網路業,2004/12/20
3383,新世紀,上市,光電業,2007/12/10
3406,玉晶光,上市,光電業,2005/12/20
3413,京鼎,上市,半導體業,2015/07/28
3416,融程電,上市,電腦及週邊設備業,2015/01/23
3419,譁裕,上市,通信網路業,2008/01/21
3432,台端,上市,電子零組件業,2010/12/30
3437,榮創,上市,光電業,2014/07/09
3443,創意,上市,半導體業,2006/11/03
3450,聯鈞,上市,其他電子業,2006/04/12
3454,晶睿,上市,光電業,2011/07/22
3481,群創,上市,光電業,2006/10/24
3494,誠研,上市,電腦及週邊設備業,2007/12/13
3501,維熹,上市,電子零組件業,2007/09/20
3504,揚明光,上市,光電業,2007/01/26
3515,華擎,上市,電腦及週邊設備業,2007/11/08
3518,柏騰,上市,其他電子業,2007/11/28
3528,安馳,上市,電子通路業,2016/05/18
3530,晶相光,上市,半導體業,2018/07/16
3532,台勝科,上市,半導體業,2007/12/10
3533,嘉澤,上市,電子零組件業,2007/12/10
3535,晶彩科,上市,光電業,2008/01/31
3536,誠創,上市,半導體業,2008/04/30
3543,州巧,上市,光電業,2020/04/15
3545,敦泰,上市,半導體業,2007/07/03
3550,聯穎,上市,電子零組件業,2010/11/10
3557,嘉威,上市,其他業,2008/02/27
3563,牧德,上市,光電業,2019/04/02
3576,聯合再生,上市,光電業,2009/01/12
3583,辛耘,上市,半導體業,2013/03/12
3588,通嘉,上市,半導體業,2009/08/14
3591,艾笛森,上市,光電業,2010/11/12
3593,力銘,上市,電子零組件業,2009/03/16
3596,智易,上市,通信網路業,2009/03/11
3605,宏致,上市,電子零組件業,2009/03/26
3607,谷崧,上市,電子零組件業,2009/10/28
3617,碩天,上市,其他電子業,2009/12/23
3622,洋華,上市,光電業,2009/03/25
3645,達邁,上市,電子零組件業,2011/10/05
3653,健策,上市,電子零組件業,2009/11/18
3661,世芯-KY,上市,半導體業,2014/10/28
3665,貿聯-KY,上市,其他電子業,2011/04/21
3669,圓展,上市,光電業,2011/08/25
3673,TPK-KY,上市,光電業,2010/10/29
3679,新至陞,上市,電子零組件業,2011/10/05
3682,亞太電,上市,通信網路業,2013/08/05
3686,達能,上市,半導體業,2010/07/20
3694,海華,上市,通信網路業,2011/05/03
3701,大眾控,上市,電腦及週邊設備業,2004/08/30
3702,大聯大,上市,電子通路業,2005/11/09
3703,欣陸,上市,建材營造業,2010/04/08
3704,合勤控,上市,通信網路業,2010/08/16
3705,永信,上市,生技醫療業,2011/01/03
3706,神達,上市,電腦及週邊設備業,2013/09/12
3708,上緯投控,上市,化學工業,2016/08/31
3711,日月光投控,上市,半導體業,2018/04/30
3712,永崴投控,上市,電腦及週邊設備業,2018/10/01
3714,富采,上市,光電業,2021/01/06
4104,佳醫,上市,生技醫療業,2007/12/31
4106,雃博,上市,生技醫療業,2004/11/08
4108,懷特,上市,生技醫療業,2008/07/16
4119,旭富,上市,生技醫療業,2004/01/07
4133,亞諾法,上市,生技醫療業,2009/12/28
4137,麗豐-KY,上市,生技醫療業,2013/11/27
4141,龍燈-KY,上市,生技醫療業,2012/04/25
4142,國光生,上市,生技醫療業,2012/05/03
4148,全宇生技-KY,上市,生技醫療業,2017/06/08
4155,訊映,上市,生技醫療業,2017/12/05
4164,承業醫,上市,生技醫療業,2012/10/24
4190,佐登-KY,上市,生技醫療業,2015/10/21
4306,炎洲,上市,塑膠工業,2008/01/21
4414,如興,上市,紡織纖維,2004/09/06
4426,利勤,上市,紡織纖維,2011/12/16
4438,廣越,上市,紡織纖維,2016/10/18
4439,冠星-KY,上市,紡織纖維,2019/12/05
4526,東台,上市,電機機械,2003/09/15
4532,瑞智,上市,電機機械,2003/08/04
4536,拓凱,上市,其他業,2013/10/09
4540,全球傳動,上市,電機機械,2018/08/15
4545,銘鈺,上市,電子零組件業,2016/01/06
4551,智伸科,上市,汽車工業,2015/08/10
4552,力達-KY,上市,電機機械,2016/07/20
4555,氣立,上市,電機機械,2015/10/27
4557,永新-KY,上市,汽車工業,2015/10/12
4560,強信-KY,上市,電機機械,2017/05/26
4562,穎漢,上市,電機機械,2017/08/21
4564,元翎,上市,電機機械,2019/03/07
4566,時碩工業,上市,電機機械,2018/02/05
4571,鈞興-KY,上市,電機機械,2019/09/17
4572,駐龍,上市,電機機械,2019/09/10
4576,大銀微系統,上市,電機機械,2019/09/04
4581,光隆精密-KY,上市,汽車工業,2020/03/09
4720,德淵,上市,化學工業,2015/06/24
4722,國精化,上市,化學工業,2012/08/15
4737,華廣,上市,生技醫療業,2010/12/23
4739,康普,上市,化學工業,2017/09/08
4746,台耀,上市,生技醫療業,2011/03/01
4755,三福化,上市,化學工業,2013/11/27
4763,材料-KY,上市,化學工業,2015/11/09
4764,雙鍵,上市,化學工業,2018/01/04
4766,南寶,上市,化學工業,2018/11/28
4807,日成-KY,上市,貿易百貨業,2017/06/26
4904,遠傳,上市,通信網路業,2005/08/24
4906,正文,上市,通信網路業,2003/06/30
4912,聯德控股-KY,上市,電子零組件業,2015/05/21
4915,致伸,上市,電子零組件業,2012/10/05
4916,事欣科,上市,電腦及週邊設備業,2013/11/21
4919,新唐,上市,半導體業,2010/09/27
4927,泰鼎-KY,上市,電子零組件業,2015/09/08
4930,燦星網,上市,電器電纜,2010/06/21
4934,太極,上市,光電業,2010/03/10
4935,茂林-KY,上市,光電業,2011/07/28
4938,和碩,上市,電腦及週邊設備業,2010/06/24
4942,嘉彰,上市,光電業,2011/06/27
4943,康控-KY,上市,電子零組件業,2016/11/11
4952,凌通,上市,半導體業,2011/11/01
4956,光鋐,上市,光電業,2011/10/24
4958,臻鼎-KY,上市,電子零組件業,2011/12/26
4960,誠美材,上市,光電業,2011/10/24
4961,天鈺,上市,半導體業,2018/10/17
4967,十銓,上市,半導體業,2019/01/14
4968,立積,上市,半導體業,2015/11/13
4976,佳凌,上市,光電業,2012/11/20
4977,眾達-KY,上市,通信網路業,2013/11/20
4989,榮科,上市,電子零組件業,2018/06/28
4994,傳奇,上市,資訊服務業,2013/12/25
4999,鑫禾,上市,電子零組件業,2013/06/03
5007,三星,上市,鋼鐵工業,2011/09/16
5203,訊連,上市,資訊服務業,2004/09/27
5215,科嘉-KY,上市,電腦及週邊設備業,2011/12/26
5225,東科-KY,上市,其他電子業,2012/11/05
5234,達興材料,上市,光電業,2012/07/16
5243,乙盛-KY,上市,光電業,2013/11/25
5258,虹堡,上市,電腦及週邊設備業,2016/12/30
5269,祥碩,上市,半導體業,2012/12/12
5283,禾聯碩,上市,電器電纜,2019/05/24
5284,jpp-KY,上市,其他業,2017/03/09
5285,界霖,上市,半導體業,2014/02/25
5288,豐祥-KY,上市,電機機械,2014/09/25
5388,中磊,上市,通信網路業,2007/12/03
5434,崇越,上市,電子通路業,2003/08/25
5469,瀚宇博,上市,電子零組件業,2003/08/25
5471,松翰,上市,半導體業,2003/08/25
5484,慧友,上市,光電業,2003/08/25
5515,建國,上市,建材營造業,2003/10/06
5519,隆大,上市,建材營造業,2014/02/10
5521,工信,上市,建材營造業,2012/12/18
5522,遠雄,上市,建材營造業,2007/08/06
5525,順天,上市,建材營造業,2004/11/26
5531,鄉林,上市,建材營造業,2005/01/31
5533,皇鼎,上市,建材營造業,2008/04/30
5534,長虹,上市,建材營造業,2004/05/24
5538,東明-KY,上市,鋼鐵工業,2013/12/16
5546,永固-KY,上市,建材營造業,2020/05/20
5607,遠雄港,上市,航運業,2004/12/02
5608,四維航,上市,航運業,2003/08/25
5706,鳳凰,上市,觀光事業,2011/10/21
5871,中租-KY,上市,其他業,2011/12/13
5876,上海商銀,上市,金融保險業,2018/10/19
5880,合庫金,上市,金融保險業,2011/12/01
5906,台南-KY,上市,貿易百貨業,2011/10/24
5907,大洋-KY,上市,貿易百貨業,2012/06/06
6005,群益證,上市,金融保險業,2005/11/21
6024,群益期,上市,金融保險業,2017/10/16
6108,競國,上市,電子零組件業,2008/12/30
6112,聚碩,上市,資訊服務業,2003/08/04
6115,鎰勝,上市,電子零組件業,2004/07/19
6116,彩晶,上市,光電業,2004/09/06
6117,迎廣,上市,電腦及週邊設備業,2003/08/25
6120,達運,上市,光電業,2006/09/13
6128,上福,上市,電腦及週邊設備業,2003/06/16
6131,鈞泰,上市,光電業,2004/09/27
6133,金橋,上市,電子零組件業,2003/08/15
6136,富爾特,上市,通信網路業,2003/08/25
6139,亞翔,上市,其他電子業,2003/08/25
6141,柏承,上市,電子零組件業,2003/10/22
6142,友勁,上市,通信網路業,2003/08/04
6152,百一,上市,通信網路業,2009/12/08
6153,嘉聯益,上市,電子零組件業,2008/01/21
6155,鈞寶,上市,電子零組件業,2006/08/18
6164,華興,上市,光電業,2008/10/21
6165,捷泰,上市,電子零組件業,2003/08/04
6166,凌華,上市,電腦及週邊設備業,2004/11/08
6168,宏齊,上市,光電業,2003/08/25
6172,互億,上市,電腦及週邊設備業,2004/05/24
6176,瑞儀,上市,光電業,2007/05/15
6177,達麗,上市,建材營造業,2013/08/01
6183,關貿,上市,資訊服務業,2011/12/01
6184,大豐電,上市,其他業,2005/02/15
6189,豐藝,上市,電子通路業,2004/05/24
6191,精成科,上市,電子零組件業,2007/10/19
6192,巨路,上市,其他電子業,2004/09/27
6196,帆宣,上市,其他電子業,2004/05/24
6197,佳必琪,上市,電子零組件業,2004/11/08
6201,亞弘電,上市,其他電子業,2004/09/27
6202,盛群,上市,半導體業,2004/09/27
6205,詮欣,上市,電子零組件業,2008/01/21
6206,飛捷,上市,電腦及週邊設備業,2004/08/03
6209,今國光,上市,光電業,2004/11/08
6213,聯茂,上市,電子零組件業,2008/01/21
6214,精誠,上市,資訊服務業,2010/12/30
6215,和椿,上市,其他電子業,2007/12/31
6216,居易,上市,通信網路業,2004/09/27
6224,聚鼎,上市,電子零組件業,2009/09/17
6225,天瀚,上市,光電業,2004/09/27
6226,光鼎,上市,光電業,2008/11/10
6230,尼得科超眾,上市,電腦及週邊設備業,2010/09/16
6235,華孚,上市,電腦及週邊設備業,2004/08/23
6239,力成,上市,半導體業,2004/11/08
6243,迅杰,上市,半導體業,2009/12/17
6251,定穎,上市,電子零組件業,2009/03/18
6257,矽格,上市,半導體業,2003/08/25
6269,台郡,上市,電子零組件業,2003/09/23
6271,同欣電,上市,半導體業,2007/11/16
6277,宏正,上市,電腦及週邊設備業,2003/10/30
6278,台表科,上市,光電業,2010/08/24
6281,全國電,上市,電子通路業,2005/12/08
6282,康舒,上市,電子零組件業,2003/09/08
6283,淳安,上市,其他電子業,2008/01/21
6285,啟碁,上市,通信網路業,2003/09/22
6288,聯嘉,上市,汽車工業,2018/05/09
6289,華上,上市,光電業,2003/08/28
6405,悅城,上市,光電業,2013/11/28
6409,旭隼,上市,其他電子業,2014/03/31
6412,群電,上市,電子零組件業,2013/11/08
6414,樺漢,上市,電腦及週邊設備業,2014/03/28
6415,矽力-KY,上市,半導體業,2013/12/12
6416,瑞祺電通,上市,通信網路業,2018/04/16
6431,光麗-KY,上市,光電業,2014/12/04
6438,迅得,上市,其他電子業,2021/01/19
6442,光聖,上市,通信網路業,2015/07/14
6443,元晶,上市,光電業,2015/10/01
6449,鈺邦,上市,電子零組件業,2014/12/09
6451,訊芯-KY,上市,半導體業,2015/01/26
6452,康友-KY,上市,生技醫療業,2015/03/25
6456,GIS-KY,上市,光電業,2015/06/12
6464,台數科,上市,其他業,2015/12/16
6477,安集,上市,光電業,2016/06/21
6491,晶碩,上市,生技醫療業,2019/10/07
6504,南六,上市,其他業,2013/05/07
6505,台塑化,上市,油電燃氣業,2003/12/26
6515,穎崴,上市,半導體業,2021/01/20
6525,捷敏-KY,上市,半導體業,2016/04/12
6531,愛普,上市,半導體業,2016/05/31
6533,晶心科,上市,半導體業,2017/03/14
6541,泰福-KY,上市,生技醫療業,2017/10/26
6552,易華電,上市,半導體業,2017/01/10
6558,興能高,上市,其他電子業,2018/12/05
6573,虹揚-KY,上市,半導體業,2017/09/26
6579,研揚,上市,電腦及週邊設備業,2017/08/21
6581,鋼聯,上市,其他業,2018/01/30
6582,申豐,上市,橡膠工業,2017/06/14
6591,動力-KY,上市,電腦及週邊設備業,2017/12/28
6592,和潤企業,上市,其他業,2019/12/09
6598,ABC-KY,上市,生技醫療業,2020/06/09
6605,帝寶,上市,汽車工業,2004/03/17
6625,必應,上市,其他業,2018/02/07
6641,基士德-KY,上市,其他業,2018/09/21
6655,科定,上市,其他業,2018/11/28
6666,羅麗芬-KY,上市,生技醫療業,2018/11/19
6668,中揚光,上市,光電業,2018/12/12
6669,緯穎,上市,電腦及週邊設備業,2019/03/27
6670,復盛應用,上市,其他業,2018/12/18
6671,三能-KY,上市,其他業,2018/12/11
6672,騰輝電子-KY,上市,電子零組件業,2019/04/17
6674,鋐寶科技,上市,通信網路業,2018/11/28
6698,旭暉應材,上市,其他電子業,2019/11/25
6706,惠特,上市,光電業,2019/12/19
6715,嘉基,上市,電子零組件業,2019/12/12
6743,安普新,上市,其他電子業,2020/12/14
6754,匯僑設計,上市,其他業,2020/08/25
6756,威鋒電子,上市,半導體業,2020/12/24
6781,AES-KY,上市,電子零組件業,2021/03/22
8011,台通,上市,通信網路業,2011/09/19
8016,矽創,上市,半導體業,2003/12/25
8021,尖點,上市,其他電子業,2008/01/21
8028,昇陽半導體,上市,半導體業,2018/07/10
8033,雷虎,上市,其他業,2007/06/21
8039,台虹,上市,電子零組件業,2009/12/17
8046,南電,上市,電子零組件業,2006/04/07
8070,長華*,上市,電子通路業,2007/12/31
8072,陞泰,上市,電子通路業,2005/08/19
8081,致新,上市,半導體業,2008/12/30
8101,華冠,上市,通信網路業,2004/07/01
8103,瀚荃,上市,電子零組件業,2009/09/29
8104,錸寶,上市,光電業,2019/01/17
8105,凌巨,上市,光電業,2006/12/27
8110,華東,上市,半導體業,2007/10/31
8112,至上,上市,電子通路業,2007/12/31
8114,振樺電,上市,電腦及週邊設備業,2012/11/26
8131,福懋科,上市,半導體業,2007/11/29
8150,南茂,上市,半導體業,2014/04/11
8163,達方,上市,電腦及週邊設備業,2007/11/28
8201,無敵,上市,其他電子業,2007/10/29
8210,勤誠,上市,電腦及週邊設備業,2011/12/01
8213,志超,上市,電子零組件業,2009/12/25
8215,明基材,上市,光電業,2010/11/12
8222,寶一,上市,電機機械,2015/01/27
8249,菱光,上市,電子零組件業,2005/05/17
8261,富鼎,上市,半導體業,2009/12/11
8271,宇瞻,上市,半導體業,2010/12/29
8341,日友,上市,其他業,2015/03/23
8367,建新國際,上市,航運業,2018/09/12
8374,羅昇,上市,電機機械,2008/12/25
8404,百和興業-KY,上市,其他業,2011/05/18
8411,福貞-KY,上市,其他業,2011/11/01
8422,可寧衛,上市,其他業,2011/10/05
8427,基勝-KY,上市,其他業,2011/12/06
8429,金麗-KY,上市,貿易百貨業,2012/12/20
8442,威宏-KY,上市,其他業,2016/11/08
8443,阿瘦,上市,貿易百貨業,2014/09/15
8454,富邦媒,上市,貿易百貨業,2014/12/19
8462,柏文,上市,觀光事業,2019/03/15
8463,潤泰材,上市,其他業,2015/07/13
8464,億豐,上市,其他業,2015/12/22
8466,美吉吉-KY,上市,其他業,2016/11/01
8467,波力-KY,上市,其他業,2015/12/15
8473,山林水,上市,其他業,2016/09/08
8478,東哥遊艇,上市,其他業,2017/12/11
8480,泰昇-KY,上市,其他業,2017/01/17
8481,政伸,上市,其他業,2017/02/24
8482,商億-KY,上市,其他業,2018/08/15
8488,吉源-KY,上市,其他業,2016/12/13
8499,鼎炫-KY,上市,其他業,2017/11/24
8926,台汽電,上市,油電燃氣業,2003/08/25
8940,新天地,上市,觀光事業,2009/05/15
8996,高力,上市,電機機械,2014/02/14
9802,鈺齊-KY,上市,其他業,2012/10/18
9902,台火,上市,其他業,1964/07/14
9904,寶成,上市,其他業,1990/01/19
9905,大華,上市,其他業,1990/08/08
9906,欣巴巴,上市,建材營造業,1990/12/15
9907,統一實,上市,其他業,1991/01/29
9908,大台北,上市,油電燃氣業,1991/02/06
9910,豐泰,上市,其他業,1992/02/18
9911,櫻花,上市,其他業,1992/07/16
9912,偉聯,上市,電腦及週邊設備業,1992/08/08
9914,美利達,上市,其他業,1992/09/30
9917,中保科,上市,其他業,1993/12/08
9918,欣天然,上市,油電燃氣業,1994/04/26
9919,康那香,上市,其他業,1994/11/04
9921,巨大,上市,其他業,1994/12/29
9924,福興,上市,其他業,1995/03/15
9925,新保,上市,其他業,1995/12/09
9926,新海,上市,油電燃氣業,1998/04/08
9927,泰銘,上市,其他業,1999/03/12
9928,中視,上市,其他業,1999/08/09
9929,秋雨,上市,其他業,1999/06/28
9930,中聯資源,上市,其他業,1999/11/22
9931,欣高,上市,油電燃氣業,2000/03/21
9933,中鼎,上市,其他業,1993/05/28
9934,成霖,上市,其他業,2000/09/11
9935,慶豐富,上市,其他業,2000/09/11
9937,全國,上市,油電燃氣業,2000/09/11
9938,百和,上市,其他業,2001/01/12
9939,宏全,上市,其他業,2001/03/02
9940,信義,上市,其他業,2001/09/17
9941,裕融,上市,其他業,2001/09/17
9942,茂順,上市,其他業,2002/01/28
9943,好樂迪,上市,觀光事業,2002/08/26
9944,新麗,上市,其他業,2002/08/26
9945,潤泰新,上市,其他業,1992/04/30
9946,三發地產,上市,建材營造業,2013/09/17
9955,佳龍,上市,其他業,2008/01/21
9958,世紀鋼,上市,鋼鐵工業,2008/03/12
